ref_key,authors_or_source,year,title,outlet,evidence_type,jurisdiction,related_bill,url
maynard_nd,Cody Maynard for Oklahoma,n.d.,Endorsements,Campaign site,advocacy,OK,HB 3546,https://codymaynard.com/home/endorsements/
colbert2025,"Colbert, S.",2025,"The A.I. Stock Bubble | ChatGPT, Grok, Go Erotic | Banning Human-Chatbot Marriage",YouTube,media,,,https://www.youtube.com/watch?v=o-u_ZkGBcNc
copp2026,"Copp, T. et al.",2026,"Anthropic's AI tool Claude central to U.S. campaign in Iran, amid a bitter feud",Washington Post,news,,,https://www.washingtonpost.com/technology/2026/03/04/anthropic-ai-iran-campaign/
cornell_lii,Cornell Legal Information Institute,n.d.,Wex Legal Definitions (Natural Person; Artificial Person),Legal Information Institute,reference_work,,,https://www.law.cornell.edu/wex/natural_person
dodson2023,"Dodson, C.",2023,Oral testimony on HB 1361 before the North Dakota Legislative Assembly,North Dakota Legislative Assembly,testimony,ND,HB 1361,https://video.ndlegis.gov/en/PowerBrowser/PowerBrowserV2/20230306/-1/29325
douthat2026,"Douthat, R.; Alvarez Boyd, S.",2026,Anthropic's Chief on A.I.: We Don't Know if the Models Are Conscious,New York Times,news,,,https://www.nytimes.com/2026/02/12/opinion/artificial-intelligence-anthropic-amodei.html
earthlaw2024,Earth Law Center,2024,Utah Advances Anti-Rights of Nature Bill with Implications for AI,Earth Law Center,advocacy,UT,HB 249,https://www.earthlawcenter.org/blog-entries/2024/2/utah-advances-anti-rights-of-nature-bill-with-implications-for-ai
edmonson2025,"Edmonson, D.",2025,"RE: HB 469, concerns (testimony to Ohio House Cttee on Technology and Innovation)",Ohio House of Representatives,testimony,OH,HB 469,https://ohiohouse.gov/committees/technology-and-innovation/bills/hb469
evans2025,"Evans, N.",2025,What's in Ohio's Proposal Banning AI Personhood,Ohio Capital Journal,news,OH,HB 469,https://ohiocapitaljournal.com/2025/11/17/whats-in-ohios-proposal-banning-ai-personhood/
fli_a,Future of Life Institute,n.d.,About us,FLI,advocacy,,,https://futureoflife.org/about-us/
fli_b,Future of Life Institute,n.d.,Home,FLI,advocacy,,,https://futureoflife.org/
hochul2025,Governor Kathy Hochul,2025,Governor Hochul Signs Legislation to Require AI Frameworks for AI Frontier Models,NY Governor's Office,press_release,NY,,https://www.governor.ny.gov/news/governor-hochul-signs-nation-leading-legislation-require-ai-frameworks-ai-frontier-models
guardian2022,Guardian,2022,"Happy the elephant is not a person, says court in key US animal rights case",The Guardian,news,,,https://www.theguardian.com/us-news/2022/jun/14/elephant-person-animal-rights-happy
hardin2026,"Hardin, C.",2026,Governor DeSantis Directs Florida State Agencies to Partner with FLI to Shield Families from AI Harm,Future of Life Institute,press_release,FL,,https://futureoflife.org/press-release/desantis-directs-florida-agencies-to-partner-with-fli/
mo_hb1746_test,HB 1746 testimony before the Missouri House Emerging Issues Committee,2026,Committee testimony record,Missouri House of Representatives,testimony,MO,HB 1746,https://documents.house.mo.gov/billtracking/bills261/witnesses/HB1746Testimony2-2.pdf
mo_hb1769_test,HB 1769 testimony before the Missouri House Emerging Issues Committee,2026,Committee testimony record,Missouri House of Representatives,testimony,MO,HB 1769,https://documents.house.mo.gov/billtracking/bills261/witnesses/HB1769Testimony2-2.pdf
hill2022,"Hill, M.",2022,Court must decide if an elephant is a person,Associated Press via KSL,news,,,https://www.ksl.com/article/50407168/court-must-decide-if-an-elephant-is-a-person
iff2022,Idaho Freedom Foundation,2022,"House Bill 720 - Personhood, animals, objects",Idaho Freedom Foundation,advocacy,ID,HB 720,https://idahofreedom.org/house-bill-720-personhood-animals-objects/
littleton_nd,"Littleton, M.",n.d.,Tennessee House of Representatives member page,Tennessee General Assembly,member_page,TN,HB 1455,https://wapp.capitol.tn.gov/apps/LegislatorInfo/member?district=h78
maisonnave2023,Maisonnave et al.,2023,Indigenous leader inspires an Amazon city to grant personhood to an endangered river,AP News,news,,,https://apnews.com/article/brazil-amazon-wari-indigenous-nature-rights-deforestation-68af65663fb7bd1b9d2051ce10c17a46
massey_nd,"Massey, B.",n.d.,Tennessee Senate member page,Tennessee General Assembly,member_page,TN,SB 1493,https://www.capitol.tn.gov/senate/archives/107GA/members/s6.html
mnhrd_nd,Minnesota House Research Department,n.d.,State Constitutional Amendments,Minnesota House Research,gov_reference,MN,SF 4114,https://www.house.mn.gov/hrd/pubs/ss/ssconamend.pdf
mbca,Model Business Corporation Act,n.d.,Section 3.02,-,legal_doc,,,https://www.lexisnexis.com/documents/pdf/20080618091347_large.pdf
nichols2025a,"Nichols, T.",2025,"AI, States' Rights, and My Visit to WallBuilders",Nichols for Idaho (Substack),blog,ID,HB 720,https://nicholsforidaho.substack.com/p/ai-states-rights-and-my-visit-to
nichols2025b,"Nichols, T.",2025,"AI, States' Rights, and the Most Basic Property Right: Owning Yourself",Nichols for Idaho (Substack),blog,ID,HB 720,https://nicholsforidaho.substack.com/p/ai-states-rights-and-the-most-basic
nhrp2025,Nonhuman Rights Project,2025,NhRP argues Utah court must allow HB 249 lawsuit to proceed,Nonhuman Rights Project,advocacy,UT,HB 249,https://www.nonhumanrights.org/blog/hb249-lawsuit-nhrp/
ndcan2023,North Dakota Can,2023,HB 1361 - Definition of Personhood,North Dakota Can,advocacy,ND,HB 1361,https://ndcan.org/house-bill-1361
ndcan_nd,North Dakota Can,n.d.,About,North Dakota Can,advocacy,ND,,https://ndcan.org/about
ndfa_nd,North Dakota Family Alliance,n.d.,North Dakota Family Alliance,NDFA,advocacy,ND,HB 1361,https://www.ndfamilyalliance.org/
ndleg2023,North Dakota Legislative Assembly,2023,Testimony on and hearing materials on HB 1361,North Dakota Legislative Assembly,testimony,ND,HB 1361,https://ndlegis.gov/sites/default/files/resource/68-2023/library/hb1361.pdf
ndleg2025,North Dakota Legislative Assembly,2025,North Dakota HB 1145 Bill Text,North Dakota Legislative Assembly,legal_doc,ND,HB 1145,https://ndlegis.gov/sites/default/files/resource/69-2025/library/hb1145.pdf
ohiohouse_nd,Ohio House of Representatives,n.d.,"HB 469, 135th General Assembly",Ohio House Technology and Innovation Cttee,gov_reference,OH,HB 469,https://ohiohouse.gov/committees/technology-and-innovation/bills/hb469
perrigo2025,"Perrigo, B.; Chow, A.",2025,Senators Reject 10-Year Ban on State-Level AI Regulation,Time,news,,,https://time.com/7299044/senators-reject-10-year-ban-on-state-level-ai-regulation-in-blow-to-big-tech/
peta2024,PETA,2024,'Tilikum v. SeaWorld' Case Summary,PETA,advocacy,,,https://www.peta.org/features/peta-foundation-legal/case-summaries/tilikum-v-seaworld/
pwh_nd,Protect What's Human,n.d.,Protect What's Human,Organisation site,advocacy,,,https://protectwhatshuman.org/
roche2024,"Roche, L. R.",2024,"No 'legal personhood' for the Great Salt Lake, Utah legislative committee decides",Deseret News,news,UT,HB 249,https://www.deseret.com/utah/2024/1/23/24048098/great-salt-lake-legal-personhood-utah-legislature/
romero2024,"Romero, M.",2024,"Denying Great Salt Lake 'personhood' closes an option for saving the lake, Utahns say",Utah News Dispatch,news,UT,HB 249,https://utahnewsdispatch.com/2024/01/23/great-salt-lake-personhood-bill/
roy2017,"Roy, E. A.",2017,New Zealand river granted same legal rights as human being,The Guardian,news,,,https://www.theguardian.com/world/2017/mar/16/new-zealand-river-granted-same-legal-rights-as-human-being
sogsl_nd,Save Our Great Salt Lake,n.d.,HOME,Organisation site,advocacy,UT,HB 249,https://www.saveourgreatsaltlake.org/
tn_sa0922,SB 837 amendment no. 1 (SA0922),2026,"114th Gen. Assemb., 1st Reg. Sess. (Tenn.)",Tennessee General Assembly,legal_doc,TN,HB 849 / SB 837,https://www.capitol.tn.gov/Bills/114/Amend/SA0922.pdf
scott2025,"Scott, C.",2025,Testimony on Ohio HB 469,Ohio House of Representatives,testimony,OH,HB 469,https://ohiohouse.gov/committees/technology-and-innovation/bills/hb469
saet_nd,Society for Ancient and Evangelical Theology,n.d.,Image of God (Imago Dei),SAET,primary_religious,,,https://www.saet.ac.uk/Christianity/ImageofGod
steinhauser_bio,"Steinhauser, B.",n.d.,Brendan Steinhauser - Public Affairs and Communications Strategist,LinkedIn,bio,,,https://www.linkedin.com/in/brendanstteinhauser/details/experience/
steinhauser2025,"Steinhauser, B.",2025,Protecting Human Agency: HB 469 Testimony,Alliance for Secure AI Action,testimony,OH,HB 469,https://secureainow.org/ohiohb469/
tan2025,"Tan, G.",2025,Tweet: TN SB 1493 is a case study in the idiocy that will destroy AI innovation in America,X (Twitter),social,TN,HB 1455 / SB 1493,https://x.com/garrytan/status/2005002574697824594
technet_nd,TechNet,n.d.,TechNet - The Voice of American Innovation,TechNet,advocacy,,,https://www.technet.org/
tn_ha1260,Tennessee Amendment No. 4 to HB 1455 / SB 1493 (HA1260),2026,"114th Gen. Assemb., 1st Reg. Sess.",Tennessee General Assembly,legal_doc,TN,HB 1455 / SB 1493,https://capitol.tn.gov/Bills/114/Amend/HA1260.pdf
tnga_nd,Tennessee General Assembly,n.d.,Tennessee Code Annotated Section 40-35-111,Tennessee General Assembly,legal_doc,TN,HB 1455,https://law.justia.com/codes/tennessee/title-40/chapter-35/part-1/section-40-35-111/
prohuman2026,The Pro-Human AI Declaration,2026,The Pro-Human AI Declaration,humanstatement.org,advocacy,,,https://humanstatement.org
whitehouse2025,The White House,2025,White House Unveils America's AI Action Plan,The White House,press_release,,,https://www.whitehouse.gov/articles/2025/07/white-house-unveils-americas-ai-action-plan/
ut_house2024,Utah House Hearing,2024,Utah HB 249 House Hearing,Utah State Legislature,testimony,UT,HB 249,https://le.utah.gov/av/committeeArchive.jsp?timelineID=241561
ut_senate2024,Utah Senate Hearing,2024,Utah Senate Judiciary Committee - HB 249 Hearing,Utah State Legislature,testimony,UT,HB 249,https://le.utah.gov/av/committeeArchive.jsp?timelineID=246931
wallbuilders2024,WallBuilders,2024,WallBuilders 2024 Impact Report,WallBuilders,advocacy,,,https://wallbuilders.com/wp-content/uploads/2024/12/2024-WallBuilders-Impact-Report.pdf
wallbuilders2025,WallBuilders,2025,WallBuilders 2025 Impact Report,WallBuilders,advocacy,,,https://wallbuilders.com/wp-content/uploads/2025/12/2025-WallBuilders-Impact-Report.pdf
wallbuilders_nd,WallBuilders,n.d.,"Preserve America's Heritage: Education, Resources and Events",WallBuilders,advocacy,,,https://wallbuilders.com/
weller2017,"Weller, C.",2017,A robot has just been granted citizenship of Saudi Arabia,World Economic Forum,news,,,https://www.weforum.org/stories/2017/10/a-robot-has-just-been-granted-citizenship-of-saudi-arabia/
weyand2025,"Weyand, Z.",2025,Ohio House Bill Introduced to Prohibit Personhood of AI,The Post (Ohio University),news,OH,HB 469,https://www.thepostathens.com/article/2025/11/ohio-house-bill-469-prohibit-ai-personhood
williams2024,"Williams, C.",2024,What is a person? Here's why Utah is considering a new bill to define it,KSL News,news,UT,HB 249,https://www.ksl.com/article/50853851/what-is-a-person-heres-why-utah-is-considering-a-new-bill-to-define-it
wiseye2026,WisconsinEye,2026,"Assembly Committee on Science, Technology, and AI",WisconsinEye,testimony,WI,AB 959 / SB 932,https://wiseye.org/2026/02/04/assembly-committee-on-science-technology-and-ai-7/
wef2020,World Economic Forum,2020,What if nature became a legal person?,World Economic Forum,advocacy,,,https://www.weforum.org/stories/2020/05/nature-legal-personhood/
yurok2019,Yurok Tribe,2019,Resolution Establishing the Rights of the Klamath River (Resolution No. 19-40),Yurok Tribe,legal_doc,,,https://ecojurisprudence.org/initiatives/resolution-establishing-rights-of-the-klamath-river/
